-5 0.25
-4.89899 0.240001
-4.79798 0.230206
-4.69697 0.220615
-4.59596 0.211228
-4.49495 0.202046
-4.39394 0.193067
-4.29293 0.184292
-4.19192 0.175722
-4.09091 0.167355
-3.9899 0.159193
-3.88889 0.151235
-3.78788 0.14348
-3.68687 0.13593
-3.58586 0.128584
-3.48485 0.121442
-3.38384 0.114504
-3.28283 0.10777
-3.18182 0.10124
-3.08081 0.0949138
-2.9798 0.088792
-2.87879 0.0828742
-2.77778 0.0771605
-2.67677 0.0716509
-2.57576 0.0663453
-2.47475 0.0612438
-2.37374 0.0563463
-2.27273 0.0516529
-2.17172 0.0471636
-2.07071 0.0428783
-1.9697 0.0387971
-1.86869 0.0349199
-1.76768 0.0312468
-1.66667 0.0277778
-1.56566 0.0245128
-1.46465 0.0214519
-1.36364 0.018595
-1.26263 0.0159423
-1.16162 0.0134935
-1.06061 0.0112489
-0.959596 0.00920824
-0.858586 0.0073717
-0.757576 0.00573921
-0.656566 0.00431078
-0.555556 0.00308642
-0.454545 0.00206612
-0.353535 0.00124987
-0.252525 0.00063769
-0.151515 0.000229568
-0.0505051 2.55076e-05
0.0505051 2.55076e-05
0.151515 0.000229568
0.252525 0.00063769
0.353535 0.00124987
0.454545 0.00206612
0.555556 0.00308642
0.656566 0.00431078
0.757576 0.00573921
0.858586 0.0073717
0.959596 0.00920824
1.06061 0.0112489
1.16162 0.0134935
1.26263 0.0159423
1.36364 0.018595
1.46465 0.0214519
1.56566 0.0245128
1.66667 0.0277778
1.76768 0.0312468
1.86869 0.0349199
1.9697 0.0387971
2.07071 0.0428783
2.17172 0.0471636
2.27273 0.0516529
2.37374 0.0563463
2.47475 0.0612438
2.57576 0.0663453
2.67677 0.0716509
2.77778 0.0771605
2.87879 0.0828742
2.9798 0.088792
3.08081 0.0949138
3.18182 0.10124
3.28283 0.10777
3.38384 0.114504
3.48485 0.121442
3.58586 0.128584
3.68687 0.13593
3.78788 0.14348
3.88889 0.151235
3.9899 0.159193
4.09091 0.167355
4.19192 0.175722
4.29293 0.184292
4.39394 0.193067
4.49495 0.202046
4.59596 0.211228
4.69697 0.220615
4.79798 0.230206
4.89899 0.240001
5 0.25
